match_type,glob_feat0,len_bin,topology,mix_mode,row_i,row_j,overlap,chem_profile_id_i,chem_profile_id_j,chain_len_i,chain_len_j
chemistry_control,300.0,"(29.999, 40.0]",branch,random,103,750,0.5333333015441895,2.0,0.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,random,103,768,0.5,2.0,2.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,random,159,160,0.46666669845581055,0.0,1.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,random,159,652,0.4333333373069763,0.0,2.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,random,159,750,0.5666666626930237,0.0,0.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,random,159,768,0.5333333015441895,0.0,2.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,random,160,276,0.5,1.0,0.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,random,160,407,0.5,1.0,2.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,random,160,652,0.5666666626930237,1.0,2.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,random,160,768,0.5,1.0,2.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,random,276,652,0.46666669845581055,0.0,2.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,random,276,750,0.4333333373069763,0.0,0.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,random,276,768,0.46666669845581055,0.0,2.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,random,407,652,0.46666663885116577,2.0,2.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,random,407,750,0.5333333015441895,2.0,0.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,random,407,768,0.5666666626930237,2.0,2.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,random,652,750,0.46666669845581055,2.0,0.0,30,30
chemistry_control,300.0,"(29.999, 40.0]",branch,random,750,768,0.5666666626930237,0.0,2.0,30,30
chemistry_control,300.0,"(55.0, 59.0]",branch,random,224,430,0.49152541160583496,2.0,2.0,59,59
chemistry_control,300.0,"(55.0, 59.0]",branch,random,224,463,0.49152541160583496,2.0,2.0,59,59
chemistry_control,300.0,"(55.0, 59.0]",branch,random,224,631,0.49152547121047974,2.0,1.0,59,59
chemistry_control,300.0,"(55.0, 59.0]",branch,random,224,782,0.118644118309021,2.0,1.0,59,59
chemistry_control,300.0,"(55.0, 59.0]",branch,random,224,898,0.5593219995498657,2.0,0.0,59,59
chemistry_control,300.0,"(55.0, 59.0]",branch,random,321,430,0.49152541160583496,0.0,2.0,59,59
chemistry_control,300.0,"(55.0, 59.0]",branch,random,321,463,0.49152541160583496,0.0,2.0,59,59
chemistry_control,300.0,"(55.0, 59.0]",branch,random,321,467,0.49152541160583496,0.0,2.0,59,59
chemistry_control,300.0,"(55.0, 59.0]",branch,random,321,621,0.49152541160583496,0.0,0.0,59,59
chemistry_control,300.0,"(55.0, 59.0]",branch,random,321,782,5.960464477539063e-08,0.0,1.0,59,59
chemistry_control,300.0,"(55.0, 59.0]",branch,random,321,898,0.49152541160583496,0.0,0.0,59,59
chemistry_control,300.0,"(55.0, 59.0]",branch,random,430,661,0.5593220591545105,2.0,1.0,59,59
chemistry_control,300.0,"(55.0, 59.0]",branch,random,430,777,0.5593220591545105,2.0,2.0,59,59
chemistry_control,300.0,"(55.0, 59.0]",branch,random,430,782,0.13559317588806152,2.0,1.0,59,59
chemistry_control,300.0,"(55.0, 59.0]",branch,random,430,916,0.5593220591545105,2.0,0.0,59,59
chemistry_control,300.0,"(55.0, 59.0]",branch,random,463,621,0.49152541160583496,2.0,0.0,59,59
chemistry_control,300.0,"(55.0, 59.0]",branch,random,463,661,0.49152541160583496,2.0,1.0,59,59
chemistry_control,300.0,"(55.0, 59.0]",branch,random,463,782,0.20338982343673706,2.0,1.0,59,59
chemistry_control,300.0,"(55.0, 59.0]",branch,random,463,898,0.49152541160583496,2.0,0.0,59,59
chemistry_control,300.0,"(55.0, 59.0]",branch,random,463,916,0.49152541160583496,2.0,0.0,59,59
chemistry_control,300.0,"(55.0, 59.0]",branch,random,467,661,0.49152541160583496,2.0,1.0,59,59
chemistry_control,300.0,"(55.0, 59.0]",branch,random,467,777,0.5593220591545105,2.0,2.0,59,59
chemistry_control,300.0,"(55.0, 59.0]",branch,random,467,782,0.2542372941970825,2.0,1.0,59,59
chemistry_control,300.0,"(55.0, 59.0]",branch,random,467,916,0.5593220591545105,2.0,0.0,59,59
chemistry_control,300.0,"(55.0, 59.0]",branch,random,621,631,0.49152541160583496,0.0,1.0,59,59
chemistry_control,300.0,"(55.0, 59.0]",branch,random,621,661,0.5593220591545105,0.0,1.0,59,59
chemistry_control,300.0,"(55.0, 59.0]",branch,random,621,777,0.5593219995498657,0.0,2.0,59,59
chemistry_control,300.0,"(55.0, 59.0]",branch,random,621,782,0.118644118309021,0.0,1.0,59,59
chemistry_control,300.0,"(55.0, 59.0]",branch,random,631,777,0.49152547121047974,1.0,2.0,59,59
chemistry_control,300.0,"(55.0, 59.0]",branch,random,631,782,0.13559329509735107,1.0,1.0,59,59
chemistry_control,300.0,"(55.0, 59.0]",branch,random,631,898,0.49152541160583496,1.0,0.0,59,59
