match_type,glob_feat0,chain_len,row_i,row_j,overlap,topology_i,topology_j,ordering_i,ordering_j
chemistry_matched_structure_variation,300.0,40,210,493,0.949999988079071,linear,cyclic,alternating,block
chemistry_matched_structure_variation,300.0,40,210,502,0.949999988079071,linear,linear,alternating,block
chemistry_matched_structure_variation,300.0,40,210,809,0.949999988079071,linear,linear,alternating,random
chemistry_matched_structure_variation,300.0,40,213,882,0.949999988079071,star,star,block,alternating
chemistry_matched_structure_variation,300.0,40,215,698,0.949999988079071,star,linear,block,block
chemistry_matched_structure_variation,300.0,40,215,882,0.9750000238418579,star,star,block,alternating
chemistry_matched_structure_variation,300.0,40,223,449,0.949999988079071,linear,cyclic,alternating,alternating
chemistry_matched_structure_variation,300.0,40,226,243,0.949999988079071,cyclic,linear,random,alternating
chemistry_matched_structure_variation,300.0,40,226,364,0.949999988079071,cyclic,linear,random,random
chemistry_matched_structure_variation,300.0,40,226,468,1.0,cyclic,cyclic,random,block
chemistry_matched_structure_variation,300.0,40,226,533,0.949999988079071,cyclic,linear,random,alternating
chemistry_matched_structure_variation,300.0,40,226,560,0.949999988079071,cyclic,linear,random,alternating
chemistry_matched_structure_variation,300.0,40,226,716,1.0,cyclic,cyclic,random,alternating
chemistry_matched_structure_variation,300.0,40,226,743,0.949999988079071,cyclic,linear,random,block
chemistry_matched_structure_variation,300.0,40,226,778,1.0,cyclic,cyclic,random,block
chemistry_matched_structure_variation,300.0,40,226,807,1.0,cyclic,cyclic,random,alternating
chemistry_matched_structure_variation,300.0,40,226,926,0.949999988079071,cyclic,linear,random,alternating
chemistry_matched_structure_variation,300.0,40,243,364,1.0,linear,linear,alternating,random
chemistry_matched_structure_variation,300.0,40,243,385,0.949999988079071,linear,cyclic,alternating,random
chemistry_matched_structure_variation,300.0,40,243,468,0.949999988079071,linear,cyclic,alternating,block
chemistry_matched_structure_variation,300.0,40,243,716,0.949999988079071,linear,cyclic,alternating,alternating
chemistry_matched_structure_variation,300.0,40,243,720,0.949999988079071,linear,cyclic,alternating,random
chemistry_matched_structure_variation,300.0,40,243,743,0.949999988079071,linear,linear,alternating,block
chemistry_matched_structure_variation,300.0,40,243,778,0.949999988079071,linear,cyclic,alternating,block
chemistry_matched_structure_variation,300.0,40,243,780,0.949999988079071,linear,cyclic,alternating,random
chemistry_matched_structure_variation,300.0,40,243,807,0.949999988079071,linear,cyclic,alternating,alternating
chemistry_matched_structure_variation,300.0,40,249,344,0.949999988079071,cyclic,linear,random,random
chemistry_matched_structure_variation,300.0,40,249,376,0.949999988079071,cyclic,linear,random,block
chemistry_matched_structure_variation,300.0,40,249,442,0.949999988079071,cyclic,cyclic,random,block
chemistry_matched_structure_variation,300.0,40,249,670,1.0,cyclic,cyclic,random,block
chemistry_matched_structure_variation,300.0,40,249,712,0.949999988079071,cyclic,linear,random,block
chemistry_matched_structure_variation,300.0,40,258,767,0.949999988079071,cyclic,linear,random,block
chemistry_matched_structure_variation,300.0,40,258,781,1.0,cyclic,cyclic,random,alternating
chemistry_matched_structure_variation,300.0,40,258,889,1.0,cyclic,cyclic,random,block
chemistry_matched_structure_variation,300.0,40,258,1012,1.0,cyclic,cyclic,random,alternating
chemistry_matched_structure_variation,300.0,40,258,1064,0.949999988079071,cyclic,linear,random,alternating
chemistry_matched_structure_variation,300.0,40,266,745,0.949999988079071,star,star,block,alternating
chemistry_matched_structure_variation,300.0,40,268,290,0.949999988079071,linear,cyclic,alternating,random
chemistry_matched_structure_variation,300.0,40,268,293,0.949999988079071,linear,star,alternating,random
